time_of_day,day_of_week,vehicle_count_north,vehicle_count_south,vehicle_count_east,vehicle_count_west,green_light_north,green_light_south,green_light_east,green_light_west,yellow_light_north,yellow_light_south,yellow_light_east,yellow_light_west,red_light_north,red_light_south,red_light_east,red_light_west
7,3,99,60,95,92,90.0,66.36363636363637,87.57575757575756,85.75757575757575,5,5,5,5,-214.6969696969697,-214.6969696969697,-214.6969696969697,-214.6969696969697
23,7,44,9,85,47,56.666666666666664,35.45454545454545,81.51515151515152,58.484848484848484,5,5,5,5,-117.12121212121212,-117.12121212121212,-117.12121212121212,-117.12121212121212
10,3,7,49,37,76,34.24242424242424,59.6969696969697,52.42424242424242,76.06060606060606,5,5,5,5,-107.42424242424244,-107.42424242424244,-107.42424242424244,-107.42424242424244
18,2,92,2,80,47,85.75757575757575,31.21212121212121,78.48484848484848,58.484848484848484,5,5,5,5,-138.93939393939394,-138.93939393939394,-138.93939393939394,-138.93939393939394
16,4,52,76,86,48,61.515151515151516,76.06060606060606,82.12121212121212,59.09090909090909,5,5,5,5,-163.78787878787875,-163.78787878787875,-163.78787878787875,-163.7878787878788
7,7,54,93,87,63,62.72727272727273,86.36363636363637,82.72727272727272,68.18181818181819,5,5,5,5,-185.0,-185.0,-185.0,-185.0
2,7,31,69,49,60,48.78787878787879,71.81818181818181,59.6969696969697,66.36363636363637,5,5,5,5,-131.66666666666669,-131.66666666666669,-131.66666666666669,-131.66666666666669
2,5,50,80,7,28,60.303030303030305,78.48484848484848,34.24242424242424,46.96969696969697,5,5,5,5,-105.00000000000003,-105.0,-105.0,-105.0
0,1,43,50,40,38,56.06060606060606,60.303030303030305,54.24242424242424,53.03030303030303,5,5,5,5,-108.63636363636365,-108.63636363636365,-108.63636363636365,-108.63636363636365
4,4,81,18,5,87,79.0909090909091,40.90909090909091,33.03030303030303,82.72727272727272,5,5,5,5,-120.75757575757575,-120.75757575757575,-120.75757575757575,-120.75757575757575
9,6,69,41,68,25,71.81818181818181,54.848484848484844,71.21212121212122,45.151515151515156,5,5,5,5,-128.03030303030303,-128.03030303030303,-128.03030303030303,-128.03030303030303
6,7,17,34,43,16,40.303030303030305,50.60606060606061,56.06060606060606,39.696969696969695,5,5,5,5,-71.66666666666666,-71.66666666666666,-71.66666666666669,-71.66666666666669
8,3,82,45,63,70,79.69696969696969,57.27272727272727,68.18181818181819,72.42424242424242,5,5,5,5,-162.57575757575756,-162.57575757575756,-162.57575757575756,-162.57575757575762
6,4,21,25,28,12,42.72727272727273,45.151515151515156,46.96969696969697,37.27272727272727,5,5,5,5,-57.121212121212125,-57.121212121212125,-57.121212121212125,-57.121212121212125
8,5,36,68,27,68,51.81818181818182,71.21212121212122,46.36363636363636,71.21212121212122,5,5,5,5,-125.6060606060606,-125.6060606060606,-125.60606060606062,-125.60606060606062
7,6,95,92,10,25,87.57575757575756,85.75757575757575,36.06060606060606,45.151515151515156,5,5,5,5,-139.5454545454545,-139.5454545454545,-139.5454545454545,-139.5454545454545
11,1,55,63,64,48,63.333333333333336,68.18181818181819,68.78787878787878,59.09090909090909,5,5,5,5,-144.39393939393938,-144.39393939393938,-144.39393939393938,-144.39393939393938
1,1,58,36,18,66,65.15151515151516,51.81818181818182,40.90909090909091,70.0,5,5,5,5,-112.87878787878788,-112.87878787878788,-112.87878787878788,-112.87878787878788
0,5,2,83,8,6,31.21212121212121,80.3030303030303,34.84848484848485,33.63636363636364,5,5,5,5,-65.0,-65.0,-65.0,-64.99999999999997
15,5,27,48,26,57,46.36363636363636,59.09090909090909,45.75757575757576,64.54545454545455,5,5,5,5,-100.75757575757575,-100.75757575757575,-100.75757575757575,-100.75757575757575
22,3,73,20,33,48,74.24242424242425,42.121212121212125,50.0,59.09090909090909,5,5,5,5,-110.45454545454547,-110.45454545454547,-110.45454545454547,-110.45454545454547
22,7,34,73,43,52,50.60606060606061,74.24242424242425,56.06060606060606,61.515151515151516,5,5,5,5,-127.42424242424244,-127.42424242424244,-127.42424242424244,-127.42424242424244
23,1,60,63,67,64,66.36363636363637,68.18181818181819,70.60606060606061,68.78787878787878,5,5,5,5,-158.939393939394,-158.939393939394,-158.939393939394,-158.93939393939394
4,6,92,4,99,61,85.75757575757575,32.42424242424242,90.0,66.96969696969697,5,5,5,5,-160.15151515151513,-160.15151515151513,-160.15151515151513,-160.15151515151513
2,4,53,99,81,16,62.121212121212125,90.0,79.0909090909091,39.696969696969695,5,5,5,5,-155.90909090909093,-155.90909090909093,-155.90909090909093,-155.90909090909088
11,6,62,69,14,42,67.57575757575758,71.81818181818181,38.484848484848484,55.45454545454545,5,5,5,5,-118.33333333333331,-118.33333333333331,-118.33333333333331,-118.33333333333331
7,2,78,89,50,24,77.27272727272728,83.93939393939394,60.303030303030305,44.54545454545455,5,5,5,5,-151.06060606060606,-151.06060606060606,-151.06060606060606,-151.06060606060606
21,2,96,3,12,2,88.18181818181819,31.81818181818182,37.27272727272727,31.21212121212121,5,5,5,5,-73.4848484848485,-73.4848484848485,-73.4848484848485,-73.4848484848485
2,5,6,38,82,78,33.63636363636364,53.03030303030303,79.69696969696969,77.27272727272728,5,5,5,5,-128.63636363636365,-128.63636363636365,-128.63636363636365,-128.63636363636363
0,3,75,34,48,28,75.45454545454545,50.60606060606061,59.09090909090909,46.96969696969697,5,5,5,5,-117.12121212121212,-117.12121212121212,-117.12121212121215,-117.12121212121212
2,2,48,0,69,31,59.09090909090909,30.0,71.81818181818181,48.78787878787879,5,5,5,5,-94.69696969696969,-94.69696969696969,-94.69696969696969,-94.69696969696969
4,1,93,23,55,25,86.36363636363637,43.93939393939394,63.333333333333336,45.151515151515156,5,5,5,5,-123.78787878787881,-123.78787878787881,-123.78787878787881,-123.78787878787881
14,6,84,56,75,15,80.9090909090909,63.93939393939394,75.45454545454545,39.09090909090909,5,5,5,5,-144.39393939393938,-144.39393939393938,-144.39393939393938,-144.39393939393938
13,6,30,99,50,24,48.18181818181819,90.0,60.303030303030305,44.54545454545455,5,5,5,5,-128.03030303030306,-128.03030303030306,-128.03030303030306,-128.03030303030306
2,5,57,69,36,53,64.54545454545455,71.81818181818181,51.81818181818182,62.121212121212125,5,5,5,5,-135.3030303030303,-135.3030303030303,-135.3030303030303,-135.3030303030303
0,7,60,40,16,27,66.36363636363637,54.24242424242424,39.696969696969695,46.36363636363636,5,5,5,5,-91.66666666666669,-91.66666666666669,-91.66666666666669,-91.66666666666666
4,7,23,53,57,72,43.93939393939394,62.121212121212125,64.54545454545455,73.63636363636364,5,5,5,5,-129.24242424242425,-129.24242424242425,-129.24242424242425,-129.24242424242425
22,4,19,45,86,55,41.515151515151516,57.27272727272727,82.12121212121212,63.333333333333336,5,5,5,5,-129.24242424242425,-129.24242424242425,-129.24242424242425,-129.24242424242425
13,5,36,59,89,64,51.81818181818182,65.75757575757575,83.93939393939394,68.78787878787878,5,5,5,5,-155.30303030303025,-155.30303030303025,-155.30303030303025,-155.30303030303025
6,4,3,59,28,92,31.81818181818182,65.75757575757575,46.96969696969697,85.75757575757575,5,5,5,5,-115.30303030303028,-115.30303030303028,-115.30303030303028,-115.30303030303028
8,7,91,56,32,85,85.15151515151516,63.93939393939394,49.39393939393939,81.51515151515152,5,5,5,5,-165.0,-165.0,-165.0,-165.0
14,5,19,30,59,79,41.515151515151516,48.18181818181819,65.75757575757575,77.87878787878788,5,5,5,5,-118.33333333333331,-118.33333333333331,-118.33333333333331,-118.33333333333331
14,5,59,83,90,40,65.75757575757575,80.3030303030303,84.54545454545455,54.24242424242424,5,5,5,5,-169.84848484848487,-169.84848484848487,-169.84848484848487,-169.84848484848487
9,5,23,23,88,50,43.93939393939394,43.93939393939394,83.33333333333333,60.303030303030305,5,5,5,5,-116.5151515151515,-116.5151515151515,-116.5151515151515,-116.5151515151515
12,7,49,88,54,70,59.6969696969697,83.33333333333333,62.72727272727273,72.42424242424242,5,5,5,5,-163.1818181818182,-163.1818181818182,-163.1818181818182,-163.1818181818182
18,4,48,35,9,77,59.09090909090909,51.21212121212121,35.45454545454545,76.66666666666666,5,5,5,5,-107.42424242424241,-107.42424242424241,-107.42424242424241,-107.42424242424244
6,4,50,84,46,28,60.303030303030305,80.9090909090909,57.878787878787875,46.96969696969697,5,5,5,5,-131.06060606060606,-131.06060606060606,-131.06060606060606,-131.06060606060606
16,5,95,29,22,82,87.57575757575756,47.57575757575758,43.33333333333333,79.69696969696969,5,5,5,5,-143.18181818181813,-143.18181818181813,-143.18181818181813,-143.18181818181813
19,2,35,23,84,18,51.21212121212121,43.93939393939394,80.9090909090909,40.90909090909091,5,5,5,5,-101.96969696969697,-101.96969696969697,-101.96969696969697,-101.96969696969697
3,3,97,29,20,65,88.78787878787878,47.57575757575758,42.121212121212125,69.39393939393939,5,5,5,5,-132.87878787878788,-132.87878787878788,-132.87878787878788,-132.87878787878788
4,7,99,85,12,40,90.0,81.51515151515152,37.27272727272727,54.24242424242424,5,5,5,5,-148.030303030303,-148.030303030303,-148.03030303030306,-148.030303030303
22,3,65,91,32,44,69.39393939393939,85.15151515151516,49.39393939393939,56.666666666666664,5,5,5,5,-145.60606060606062,-145.60606060606062,-145.60606060606062,-145.60606060606062
6,3,78,6,23,14,77.27272727272728,33.63636363636364,43.93939393939394,38.484848484848484,5,5,5,5,-78.33333333333337,-78.33333333333337,-78.33333333333337,-78.33333333333334
12,4,33,34,10,2,50.0,50.60606060606061,36.06060606060606,31.21212121212121,5,5,5,5,-52.878787878787904,-52.878787878787904,-52.878787878787904,-52.878787878787875
14,4,35,54,16,10,51.21212121212121,62.72727272727273,39.696969696969695,36.06060606060606,5,5,5,5,-74.69696969696969,-74.69696969696969,-74.69696969696969,-74.69696969696969
10,2,5,91,67,52,33.03030303030303,85.15151515151516,70.60606060606061,61.515151515151516,5,5,5,5,-135.3030303030303,-135.3030303030303,-135.3030303030303,-135.3030303030303
3,3,38,13,46,45,53.03030303030303,37.87878787878788,57.878787878787875,57.27272727272727,5,5,5,5,-91.06060606060606,-91.06060606060606,-91.06060606060606,-91.06060606060606
12,3,41,9,24,29,54.848484848484844,35.45454545454545,44.54545454545455,47.57575757575758,5,5,5,5,-67.42424242424244,-67.42424242424244,-67.42424242424244,-67.42424242424244
